=== JCRingApp Debug Logs ===
Exported at: 2025-09-21 00:25:21.680
Total logs: 87
=====================================

[2025-09-21 00:22:48.677] [INFO] [RealBluetoothManager] 🔧 INICIANDO RealBluetoothManager...
[2025-09-21 00:22:48.690] [INFO] [RealBluetoothManager] ✅ DataListener registrado no BleService!
[2025-09-21 00:22:48.711] [INFO] [RealBluetoothManager] ✅ RealBluetoothManager inicializado corretamente
[2025-09-21 00:22:49.583] [WARN] [RealBluetoothManager] 📭 rawData.collect() chamado mas data é null
[2025-09-21 00:23:03.740] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:23:03.741] [INFO] [RealBluetoothManager] 🔄 Conectando...
[2025-09-21 00:23:03.742] [ERROR] [RealBluetoothManager] ❌ Erro ao conectar: Attempt to read from field 'android.bluetooth.BluetoothAdapter com.jstyle.test2025.ble.BleManager.bluetoothAdapter' on a null object reference in method 'void com.jstyle.test2025.ble.BleService.connectedDevice(java.lang.String, android.content.Context, com.jstyle.blesdk2301.callback.BleConnectionListener)'
[2025-09-21 00:23:18.414] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:23:18.926] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:23:21.596] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:23:21.938] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:23:22.164] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:23:22.398] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:23:22.595] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:23:22.805] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
[2025-09-21 00:23:22.988] [INFO] [RealBluetoothManager] 🔗 Conectando ao J2301B 14942: J2301B Ring
